"GENDER" "RACE" "WKSESL" "C1GMOTOR" "C1FMOTOR" "T1INTERN" "T1EXTERN" "T1INTERP" "T1CONTRO" "P1FIRKDG" "AGEBASELINE" "score" "time" "CHILDID"
"66263" "female" "white, non-Hispanic" 1.07 5 6 2 2.4 3.2 3.25 1 80 1.17 7.68114574786861 "46"
"87672" "female" "white, non-Hispanic" 1.07 5 6 2 2.4 3.2 3.25 1 80 1.72 9.74679434480896 "46"
"2089" "male" "white, non-Hispanic" 1.25 6 8 1.25 1.2 4 4 1 69 0 0 "47"
"23498" "male" "white, non-Hispanic" 1.25 6 8 1.25 1.2 4 4 1 69 0.69 3.3166247903554 "47"
"44907" "male" "white, non-Hispanic" 1.25 6 8 1.25 1.2 4 4 1 69 1.05 5.91607978309962 "47"
"66316" "male" "white, non-Hispanic" 1.25 6 8 1.25 1.2 4 4 1 69 1.12 7.61577310586391 "47"
"87725" "male" "white, non-Hispanic" 1.25 6 8 1.25 1.2 4 4 1 69 1.65 9.74679434480896 "47"
"2231" "male" "black or African American non-Hispanic" 0.12 7 8 1 1 4 4 1 66 -1.31 0 "48"
"23640" "male" "black or African American non-Hispanic" 0.12 7 8 1 1 4 4 1 66 -0.39 3.74165738677394 "48"
"45049" "male" "black or African American non-Hispanic" 0.12 7 8 1 1 4 4 1 66 0.78 6 "48"
"66458" "male" "black or African American non-Hispanic" 0.12 7 8 1 1 4 4 1 66 0.96 7.68114574786861 "48"
"87867" "male" "black or African American non-Hispanic" 0.12 7 8 1 1 4 4 1 66 1.17 9.79795897113271 "48"
"2250" "male" "black or African American non-Hispanic" -0.03 8 9 1 1 4 4 1 72 -1.31 0 "49"
"23659" "male" "black or African American non-Hispanic" -0.03 8 9 1 1 4 4 1 72 -0.51 3.74165738677394 "49"
"45068" "male" "black or African American non-Hispanic" -0.03 8 9 1 1 4 4 1 72 0.61 5.91607978309962 "49"
"66477" "male" "black or African American non-Hispanic" -0.03 8 9 1 1 4 4 1 72 0.6 7.68114574786861 "49"
"87886" "male" "black or African American non-Hispanic" -0.03 8 9 1 1 4 4 1 72 0.77 9.79795897113271 "49"
"2373" "female" "white, non-Hispanic" 0.9 7 8 1.5 1.2 4 3.75 1 78 0.04 0 "50"
"23782" "female" "white, non-Hispanic" 0.9 7 8 1.5 1.2 4 3.75 1 78 0.54 3.3166247903554 "50"
"45191" "female" "white, non-Hispanic" 0.9 7 8 1.5 1.2 4 3.75 1 78 1.06 6 "50"
"66600" "female" "white, non-Hispanic" 0.9 7 8 1.5 1.2 4 3.75 1 78 1.19 7.61577310586391 "50"
"88009" "female" "white, non-Hispanic" 0.9 7 8 1.5 1.2 4 3.75 1 78 1.62 9.74679434480896 "50"
"2374" "female" "white, non-Hispanic" 0.25 3 6 1.25 1.4 3.8 3.75 1 78 -0.43 0 "51"
"23783" "female" "white, non-Hispanic" 0.25 3 6 1.25 1.4 3.8 3.75 1 78 0.31 3.3166247903554 "51"
"45192" "female" "white, non-Hispanic" 0.25 3 6 1.25 1.4 3.8 3.75 1 78 0.99 6 "51"
"66601" "female" "white, non-Hispanic" 0.25 3 6 1.25 1.4 3.8 3.75 1 78 1.41 7.61577310586391 "51"
"88010" "female" "white, non-Hispanic" 0.25 3 6 1.25 1.4 3.8 3.75 1 78 1.6 9.74679434480896 "51"
"2472" "male" "black or African American non-Hispanic" -0.54 8 7 2 1 3.75 3.67 1 75 -0.8 0 "52"
"23881" "male" "black or African American non-Hispanic" -0.54 8 7 2 1 3.75 3.67 1 75 -0.21 3.3166247903554 "52"
"45290" "male" "black or African American non-Hispanic" -0.54 8 7 2 1 3.75 3.67 1 75 0.58 5.8309518948453 "52"
"66699" "male" "black or African American non-Hispanic" -0.54 8 7 2 1 3.75 3.67 1 75 0.86 7.54983443527075 "52"
"88108" "male" "black or African American non-Hispanic" -0.54 8 7 2 1 3.75 3.67 1 75 1.13 9.64365076099295 "52"
"2482" "female" "black or African American non-Hispanic" -0.25 8 3 2 2.8 2.2 2.5 1 78 -1 0 "53"
"23891" "female" "black or African American non-Hispanic" -0.25 8 3 2 2.8 2.2 2.5 1 78 -0.29 3.46410161513775 "53"
"45300" "female" "black or African American non-Hispanic" -0.25 8 3 2 2.8 2.2 2.5 1 78 0.72 6 "53"
"66709" "female" "black or African American non-Hispanic" -0.25 8 3 2 2.8 2.2 2.5 1 78 1.02 7.61577310586391 "53"
"88118" "female" "black or African American non-Hispanic" -0.25 8 3 2 2.8 2.2 2.5 1 78 1 9.74679434480896 "53"
"2499" "female" "white, non-Hispanic" -0.4 8 8 1.25 1.8 3.4 3.5 1 76 -0.99 0 "54"
"23908" "female" "white, non-Hispanic" -0.4 8 8 1.25 1.8 3.4 3.5 1 76 -0.45 3.3166247903554 "54"
"45317" "female" "white, non-Hispanic" -0.4 8 8 1.25 1.8 3.4 3.5 1 76 0.6 5.8309518948453 "54"
"66726" "female" "white, non-Hispanic" -0.4 8 8 1.25 1.8 3.4 3.5 1 76 0.79 7.61577310586391 "54"
"88135" "female" "white, non-Hispanic" -0.4 8 8 1.25 1.8 3.4 3.5 1 76 0.86 9.69535971483266 "54"
"2510" "female" "white, non-Hispanic" -0.34 8 5 1.75 1.4 2 2.75 1 79 -0.84 0 "55"
"23919" "female" "white, non-Hispanic" -0.34 8 5 1.75 1.4 2 2.75 1 79 -0.13 3.3166247903554 "55"
"45328" "female" "white, non-Hispanic" -0.34 8 5 1.75 1.4 2 2.75 1 79 0.79 5.8309518948453 "55"
"66737" "female" "white, non-Hispanic" -0.34 8 5 1.75 1.4 2 2.75 1 79 1 7.61577310586391 "55"
"88146" "female" "white, non-Hispanic" -0.34 8 5 1.75 1.4 2 2.75 1 79 1.21 9.69535971483266 "55"
"2545" "male" "white, non-Hispanic" -0.12 7 7 1 1 3.25 3.75 1 71 -0.78 0 "56"
"23954" "male" "white, non-Hispanic" -0.12 7 7 1 1 3.25 3.75 1 71 0.2 3.3166247903554 "56"
"45363" "male" "white, non-Hispanic" -0.12 7 7 1 1 3.25 3.75 1 71 0.97 6 "56"
"66772" "male" "white, non-Hispanic" -0.12 7 7 1 1 3.25 3.75 1 71 1.06 7.68114574786861 "56"
"88181" "male" "white, non-Hispanic" -0.12 7 7 1 1 3.25 3.75 1 71 1.35 9.69535971483266 "56"
"2549" "female" "white, non-Hispanic" 0.61 6 9 1 1.2 3.25 3.25 1 78 -0.44 0 "57"
"23958" "female" "white, non-Hispanic" 0.61 6 9 1 1.2 3.25 3.25 1 78 0.41 3.3166247903554 "57"
"45367" "female" "white, non-Hispanic" 0.61 6 9 1 1.2 3.25 3.25 1 78 1.19 6 "57"
"66776" "female" "white, non-Hispanic" 0.61 6 9 1 1.2 3.25 3.25 1 78 1.19 7.68114574786861 "57"
"88185" "female" "white, non-Hispanic" 0.61 6 9 1 1.2 3.25 3.25 1 78 1.53 9.69535971483266 "57"
"2573" "male" "white, non-Hispanic" 0.78 6 9 1.5 1.4 3.6 3.75 2 83 0.27 0 "58"
"23982" "male" "white, non-Hispanic" 0.78 6 9 1.5 1.4 3.6 3.75 2 83 0.57 3.60555127546399 "58"
"45391" "male" "white, non-Hispanic" 0.78 6 9 1.5 1.4 3.6 3.75 2 83 1.23 6.08276253029822 "58"
"66800" "male" "white, non-Hispanic" 0.78 6 9 1.5 1.4 3.6 3.75 2 83 1.2 7.81024967590665 "58"
"88209" "male" "white, non-Hispanic" 0.78 6 9 1.5 1.4 3.6 3.75 2 83 1.74 9.79795897113271 "58"
"2575" "female" "white, non-Hispanic" 0.68 8 5 1 1.2 3.2 3.5 1 76 -0.24 0 "59"
"23984" "female" "white, non-Hispanic" 0.68 8 5 1 1.2 3.2 3.5 1 76 0.97 3.60555127546399 "59"
"45393" "female" "white, non-Hispanic" 0.68 8 5 1 1.2 3.2 3.5 1 76 1.03 6.08276253029822 "59"
"66802" "female" "white, non-Hispanic" 0.68 8 5 1 1.2 3.2 3.5 1 76 1.54 7.81024967590665 "59"
"88211" "female" "white, non-Hispanic" 0.68 8 5 1 1.2 3.2 3.5 1 76 1.78 9.79795897113271 "59"
"2649" "female" "Hispanic" 0.06 6 9 2.5 1 1.6 3 1 77 -0.98 0 "60"
"24058" "female" "Hispanic" 0.06 6 9 2.5 1 1.6 3 1 77 -0.42 3.46410161513775 "60"
"45467" "female" "Hispanic" 0.06 6 9 2.5 1 1.6 3 1 77 0.56 6 "60"
"66876" "female" "Hispanic" 0.06 6 9 2.5 1 1.6 3 1 77 1.01 7.74596669241483 "60"
"88285" "female" "Hispanic" 0.06 6 9 2.5 1 1.6 3 1 77 1.62 9.74679434480896 "60"
"2652" "male" "white, non-Hispanic" -0.2 7 9 1 1 3.6 3.5 1 69 -0.3 0 "61"
"24061" "male" "white, non-Hispanic" -0.2 7 9 1 1 3.6 3.5 1 69 -0.38 3.46410161513775 "61"
"45470" "male" "white, non-Hispanic" -0.2 7 9 1 1 3.6 3.5 1 69 0.97 6 "61"
"66879" "male" "white, non-Hispanic" -0.2 7 9 1 1 3.6 3.5 1 69 1.21 7.74596669241483 "61"
"88288" "male" "white, non-Hispanic" -0.2 7 9 1 1 3.6 3.5 1 69 1.35 9.74679434480896 "61"
"2656" "female" "white, non-Hispanic" -0.09 8 9 1 1 3.6 3.5 1 74 -0.57 0 "62"
"24065" "female" "white, non-Hispanic" -0.09 8 9 1 1 3.6 3.5 1 74 0.3 3.46410161513775 "62"
"45474" "female" "white, non-Hispanic" -0.09 8 9 1 1 3.6 3.5 1 74 0.84 6 "62"
"66883" "female" "white, non-Hispanic" -0.09 8 9 1 1 3.6 3.5 1 74 1.12 7.74596669241483 "62"
"88292" "female" "white, non-Hispanic" -0.09 8 9 1 1 3.6 3.5 1 74 1.47 9.74679434480896 "62"
"2798" "male" "other" 0.57 8 9 1.5 2.8 2.25 2 1 74 -0.39 0 "63"
"24207" "male" "other" 0.57 8 9 1.5 2.8 2.25 2 1 74 0.11 3.46410161513775 "63"
"45616" "male" "other" 0.57 8 9 1.5 2.8 2.25 2 1 74 0.92 6.08276253029822 "63"
"67025" "male" "other" 0.57 8 9 1.5 2.8 2.25 2 1 74 1.33 7.81024967590665 "63"
"88434" "male" "other" 0.57 8 9 1.5 2.8 2.25 2 1 74 1.32 9.74679434480896 "63"
"2858" "female" "white, non-Hispanic" -0.11 5 5 1.75 1.2 3.8 3.5 1 71 -0.46 0 "64"
"24267" "female" "white, non-Hispanic" -0.11 5 5 1.75 1.2 3.8 3.5 1 71 0.44 3.60555127546399 "64"
"45676" "female" "white, non-Hispanic" -0.11 5 5 1.75 1.2 3.8 3.5 1 71 0.77 6 "64"
"67085" "female" "white, non-Hispanic" -0.11 5 5 1.75 1.2 3.8 3.5 1 71 0.85 7.68114574786861 "64"
"88494" "female" "white, non-Hispanic" -0.11 5 5 1.75 1.2 3.8 3.5 1 71 1.38 9.74679434480896 "64"
"2860" "male" "white, non-Hispanic" -0.85 4 8 1 1 3.8 4 1 69 -0.58 0 "65"
"24269" "male" "white, non-Hispanic" -0.85 4 8 1 1 3.8 4 1 69 0.51 3.60555127546399 "65"
"45678" "male" "white, non-Hispanic" -0.85 4 8 1 1 3.8 4 1 69 0.8 6 "65"
"67087" "male" "white, non-Hispanic" -0.85 4 8 1 1 3.8 4 1 69 0.98 7.68114574786861 "65"
"88496" "male" "white, non-Hispanic" -0.85 4 8 1 1 3.8 4 1 69 0.85 9.74679434480896 "65"
"3061" "male" "white, non-Hispanic" 0.09 8 7 1.67 1.6 3.25 3.25 1 72 -0.56 0 "66"
"24470" "male" "white, non-Hispanic" 0.09 8 7 1.67 1.6 3.25 3.25 1 72 0.04 3.60555127546399 "66"
"45879" "male" "white, non-Hispanic" 0.09 8 7 1.67 1.6 3.25 3.25 1 72 1.05 6 "66"
"67288" "male" "white, non-Hispanic" 0.09 8 7 1.67 1.6 3.25 3.25 1 72 1.27 7.68114574786861 "66"
"88697" "male" "white, non-Hispanic" 0.09 8 7 1.67 1.6 3.25 3.25 1 72 1.87 9.79795897113271 "66"
"3071" "male" "white, non-Hispanic" 1.08 8 8 1.5 1.2 3 3.67 1 76 -0.43 0 "67"
"24480" "male" "white, non-Hispanic" 1.08 8 8 1.5 1.2 3 3.67 1 76 0.59 3.60555127546399 "67"
"45889" "male" "white, non-Hispanic" 1.08 8 8 1.5 1.2 3 3.67 1 76 0.83 6 "67"
"67298" "male" "white, non-Hispanic" 1.08 8 8 1.5 1.2 3 3.67 1 76 0.94 7.68114574786861 "67"
"88707" "male" "white, non-Hispanic" 1.08 8 8 1.5 1.2 3 3.67 1 76 1.09 9.79795897113271 "67"
"3085" "female" "white, non-Hispanic" -0.17 5 6 3.25 2 2.8 3 1 78 -1.43 0 "68"
"24494" "female" "white, non-Hispanic" -0.17 5 6 3.25 2 2.8 3 1 78 -0.07 3.60555127546399 "68"
"45903" "female" "white, non-Hispanic" -0.17 5 6 3.25 2 2.8 3 1 78 0.66 6 "68"
"67312" "female" "white, non-Hispanic" -0.17 5 6 3.25 2 2.8 3 1 78 0.8 7.68114574786861 "68"
"88721" "female" "white, non-Hispanic" -0.17 5 6 3.25 2 2.8 3 1 78 1.14 9.79795897113271 "68"
"3091" "male" "white, non-Hispanic" -0.41 8 5 1 1 3.6 3.5 1 74 0.19 0 "69"
"24500" "male" "white, non-Hispanic" -0.41 8 5 1 1 3.6 3.5 1 74 0.8 3.60555127546399 "69"
"45909" "male" "white, non-Hispanic" -0.41 8 5 1 1 3.6 3.5 1 74 1.17 6 "69"
"67318" "male" "white, non-Hispanic" -0.41 8 5 1 1 3.6 3.5 1 74 1.56 7.68114574786861 "69"
"88727" "male" "white, non-Hispanic" -0.41 8 5 1 1 3.6 3.5 1 74 2.08 9.79795897113271 "69"
"3120" "male" "white, non-Hispanic" 0.06 8 6 1 2.2 2.6 2.5 1 79 0.12 0 "70"
"24529" "male" "white, non-Hispanic" 0.06 8 6 1 2.2 2.6 2.5 1 79 0.83 3.46410161513775 "70"
"45938" "male" "white, non-Hispanic" 0.06 8 6 1 2.2 2.6 2.5 1 79 0.97 6 "70"
"67347" "male" "white, non-Hispanic" 0.06 8 6 1 2.2 2.6 2.5 1 79 1.4 7.68114574786861 "70"
"88756" "male" "white, non-Hispanic" 0.06 8 6 1 2.2 2.6 2.5 1 79 1.55 9.79795897113271 "70"
"3126" "female" "white, non-Hispanic" -0.47 8 6 1.25 1.2 2.6 3.33 1 69 -0.45 0 "71"
"24535" "female" "white, non-Hispanic" -0.47 8 6 1.25 1.2 2.6 3.33 1 69 0.67 3.46410161513775 "71"
"45944" "female" "white, non-Hispanic" -0.47 8 6 1.25 1.2 2.6 3.33 1 69 0.89 6 "71"
"67353" "female" "white, non-Hispanic" -0.47 8 6 1.25 1.2 2.6 3.33 1 69 1.19 7.68114574786861 "71"
"88762" "female" "white, non-Hispanic" -0.47 8 6 1.25 1.2 2.6 3.33 1 69 1.37 9.79795897113271 "71"
"3188" "female" "white, non-Hispanic" 0.19 8 8 1.25 1.6 2.8 3.25 1 75 -0.45 0 "72"
"24597" "female" "white, non-Hispanic" 0.19 8 8 1.25 1.6 2.8 3.25 1 75 0.81 3.46410161513775 "72"
"46006" "female" "white, non-Hispanic" 0.19 8 8 1.25 1.6 2.8 3.25 1 75 0.97 6.08276253029822 "72"
"67415" "female" "white, non-Hispanic" 0.19 8 8 1.25 1.6 2.8 3.25 1 75 1.3 7.61577310586391 "72"
"88824" "female" "white, non-Hispanic" 0.19 8 8 1.25 1.6 2.8 3.25 1 75 1.51 9.74679434480896 "72"
"3275" "male" "white, non-Hispanic" 0.11 3 7 1.25 1 3 3.75 1 71 -0.7 0 "73"
"24684" "male" "white, non-Hispanic" 0.11 3 7 1.25 1 3 3.75 1 71 -0.02 3.16227766016838 "73"
"46093" "male" "white, non-Hispanic" 0.11 3 7 1.25 1 3 3.75 1 71 0.76 5.8309518948453 "73"
"67502" "male" "white, non-Hispanic" 0.11 3 7 1.25 1 3 3.75 1 71 1.01 7.61577310586391 "73"
"88911" "male" "white, non-Hispanic" 0.11 3 7 1.25 1 3 3.75 1 71 1.18 9.64365076099295 "73"
"3302" "female" "white, non-Hispanic" -0.11 6 8 1 1 2.5 2 1 77 -0.53 0 "74"
"24711" "female" "white, non-Hispanic" -0.11 6 8 1 1 2.5 2 1 77 0.05 3.3166247903554 "74"
"46120" "female" "white, non-Hispanic" -0.11 6 8 1 1 2.5 2 1 77 0.91 5.91607978309962 "74"
"67529" "female" "white, non-Hispanic" -0.11 6 8 1 1 2.5 2 1 77 1.4 7.68114574786861 "74"
"88938" "female" "white, non-Hispanic" -0.11 6 8 1 1 2.5 2 1 77 1.47 9.74679434480896 "74"
"3313" "female" "white, non-Hispanic" -0.93 5 2 3 3 2.25 2 1 72 -0.95 0 "75"
"24722" "female" "white, non-Hispanic" -0.93 5 2 3 3 2.25 2 1 72 -0.34 3.3166247903554 "75"
"46131" "female" "white, non-Hispanic" -0.93 5 2 3 3 2.25 2 1 72 0.82 5.91607978309962 "75"
"67540" "female" "white, non-Hispanic" -0.93 5 2 3 3 2.25 2 1 72 1.04 7.68114574786861 "75"
"88949" "female" "white, non-Hispanic" -0.93 5 2 3 3 2.25 2 1 72 1.15 9.74679434480896 "75"
"3468" "female" "white, non-Hispanic" 0.78 6 5 1 2.2 2.6 3 1 72 -1.09 0 "76"
"24877" "female" "white, non-Hispanic" 0.78 6 5 1 2.2 2.6 3 1 72 0.14 3.3166247903554 "76"
"46286" "female" "white, non-Hispanic" 0.78 6 5 1 2.2 2.6 3 1 72 0.97 6 "76"
"67695" "female" "white, non-Hispanic" 0.78 6 5 1 2.2 2.6 3 1 72 1 7.61577310586391 "76"
"89104" "female" "white, non-Hispanic" 0.78 6 5 1 2.2 2.6 3 1 72 1.76 9.74679434480896 "76"
"3560" "male" "white, non-Hispanic" 1.15 8 8 1.25 1 3 3 1 74 -0.52 0 "77"
"24969" "male" "white, non-Hispanic" 1.15 8 8 1.25 1 3 3 1 74 0.41 3.60555127546399 "77"
"46378" "male" "white, non-Hispanic" 1.15 8 8 1.25 1 3 3 1 74 0.88 6.08276253029822 "77"
"67787" "male" "white, non-Hispanic" 1.15 8 8 1.25 1 3 3 1 74 1.3 7.68114574786861 "77"
"89196" "male" "white, non-Hispanic" 1.15 8 8 1.25 1 3 3 1 74 1.61 9.79795897113271 "77"
"3687" "male" "white, non-Hispanic" 0.07 6 9 1 1.6 3.25 3.67 1 77 -0.02 0 "78"
"25096" "male" "white, non-Hispanic" 0.07 6 9 1 1.6 3.25 3.67 1 77 0.8 3.46410161513775 "78"
"46505" "male" "white, non-Hispanic" 0.07 6 9 1 1.6 3.25 3.67 1 77 1.07 5.91607978309962 "78"
"67914" "male" "white, non-Hispanic" 0.07 6 9 1 1.6 3.25 3.67 1 77 1.24 7.74596669241483 "78"
"89323" "male" "white, non-Hispanic" 0.07 6 9 1 1.6 3.25 3.67 1 77 1.46 9.69535971483266 "78"
"3690" "male" "white, non-Hispanic" -0.2 8 7 1 1.8 3.4 3.5 1 77 -0.26 0 "79"
"25099" "male" "white, non-Hispanic" -0.2 8 7 1 1.8 3.4 3.5 1 77 0.52 3.46410161513775 "79"
"46508" "male" "white, non-Hispanic" -0.2 8 7 1 1.8 3.4 3.5 1 77 1 5.91607978309962 "79"
"67917" "male" "white, non-Hispanic" -0.2 8 7 1 1.8 3.4 3.5 1 77 1.4 7.74596669241483 "79"
"89326" "male" "white, non-Hispanic" -0.2 8 7 1 1.8 3.4 3.5 1 77 1.33 9.69535971483266 "79"
"3729" "male" "white, non-Hispanic" -0.32 8 5 2 1 3 4 1 69 -0.68 0 "80"
"25138" "male" "white, non-Hispanic" -0.32 8 5 2 1 3 4 1 69 -0.01 3.60555127546399 "80"
"46547" "male" "white, non-Hispanic" -0.32 8 5 2 1 3 4 1 69 0.41 6 "80"
"67956" "male" "white, non-Hispanic" -0.32 8 5 2 1 3 4 1 69 0.7 7.61577310586391 "80"
"89365" "male" "white, non-Hispanic" -0.32 8 5 2 1 3 4 1 69 0.85 9.74679434480896 "80"
"3730" "male" "white, non-Hispanic" -0.24 8 7 1.25 1 3.25 4 1 71 -0.42 0 "81"
"25139" "male" "white, non-Hispanic" -0.24 8 7 1.25 1 3.25 4 1 71 0.4 3.60555127546399 "81"
"46548" "male" "white, non-Hispanic" -0.24 8 7 1.25 1 3.25 4 1 71 1 6 "81"
"67957" "male" "white, non-Hispanic" -0.24 8 7 1.25 1 3.25 4 1 71 1.18 7.61577310586391 "81"
"89366" "male" "white, non-Hispanic" -0.24 8 7 1.25 1 3.25 4 1 71 1.2 9.74679434480896 "81"
"3761" "male" "white, non-Hispanic" -0.19 6 7 1 1 3 3.25 1 79 -1.11 0 "82"
"25170" "male" "white, non-Hispanic" -0.19 6 7 1 1 3 3.25 1 79 0.16 3.46410161513775 "82"
"46579" "male" "white, non-Hispanic" -0.19 6 7 1 1 3 3.25 1 79 1 5.91607978309962 "82"
"67988" "male" "white, non-Hispanic" -0.19 6 7 1 1 3 3.25 1 79 1.08 7.61577310586391 "82"
"89397" "male" "white, non-Hispanic" -0.19 6 7 1 1 3 3.25 1 79 1.33 9.69535971483266 "82"
"3828" "male" "black or African American non-Hispanic" -1.37 7 2 1 1 2.75 3.25 1 72 -0.86 0 "83"
"25237" "male" "black or African American non-Hispanic" -1.37 7 2 1 1 2.75 3.25 1 72 0.27 3.46410161513775 "83"
"46646" "male" "black or African American non-Hispanic" -1.37 7 2 1 1 2.75 3.25 1 72 0.77 6.08276253029822 "83"
"68055" "male" "black or African American non-Hispanic" -1.37 7 2 1 1 2.75 3.25 1 72 1.21 7.74596669241483 "83"
"89464" "male" "black or African American non-Hispanic" -1.37 7 2 1 1 2.75 3.25 1 72 1.31 9.74679434480896 "83"
"3865" "male" "white, non-Hispanic" -0.09 7 7 1.25 1 4 4 1 72 -0.84 0 "84"
"25274" "male" "white, non-Hispanic" -0.09 7 7 1.25 1 4 4 1 72 0.37 3.60555127546399 "84"
"46683" "male" "white, non-Hispanic" -0.09 7 7 1.25 1 4 4 1 72 0.9 6.08276253029822 "84"
"68092" "male" "white, non-Hispanic" -0.09 7 7 1.25 1 4 4 1 72 1.06 7.81024967590665 "84"
"89501" "male" "white, non-Hispanic" -0.09 7 7 1.25 1 4 4 1 72 0.95 9.74679434480896 "84"
"3876" "female" "white, non-Hispanic" 0.84 5 5 3 2.2 2 2.67 2 82 -0.01 0 "85"
"25285" "female" "white, non-Hispanic" 0.84 5 5 3 2.2 2 2.67 2 82 0.4 3.3166247903554 "85"
"46694" "female" "white, non-Hispanic" 0.84 5 5 3 2.2 2 2.67 2 82 0.58 5.91607978309962 "85"
"68103" "female" "white, non-Hispanic" 0.84 5 5 3 2.2 2 2.67 2 82 0.77 7.68114574786861 "85"
"89512" "female" "white, non-Hispanic" 0.84 5 5 3 2.2 2 2.67 2 82 1.06 9.74679434480896 "85"
"3920" "male" "white, non-Hispanic" 0.85 6 7 1.25 1.4 3.6 4 1 77 -0.47 0 "86"
"25329" "male" "white, non-Hispanic" 0.85 6 7 1.25 1.4 3.6 4 1 77 0.48 3.16227766016838 "86"
"46738" "male" "white, non-Hispanic" 0.85 6 7 1.25 1.4 3.6 4 1 77 1.15 5.91607978309962 "86"
"68147" "male" "white, non-Hispanic" 0.85 6 7 1.25 1.4 3.6 4 1 77 1.31 7.68114574786861 "86"
"89556" "male" "white, non-Hispanic" 0.85 6 7 1.25 1.4 3.6 4 1 77 1.63 9.64365076099295 "86"
"3968" "male" "white, non-Hispanic" -0.34 8 6 1.25 1 3 4 1 70 -1.14 0 "87"
"25377" "male" "white, non-Hispanic" -0.34 8 6 1.25 1 3 4 1 70 -0.44 3.46410161513775 "87"
"46786" "male" "white, non-Hispanic" -0.34 8 6 1.25 1 3 4 1 70 0.74 6.08276253029822 "87"
"68195" "male" "white, non-Hispanic" -0.34 8 6 1.25 1 3 4 1 70 1.08 7.74596669241483 "87"
"89604" "male" "white, non-Hispanic" -0.34 8 6 1.25 1 3 4 1 70 1.76 9.79795897113271 "87"
"3983" "female" "other" 2.27 3 7 2 1.4 2.6 2.75 1 72 0.34 0 "88"
"25392" "female" "other" 2.27 3 7 2 1.4 2.6 2.75 1 72 0.78 3.46410161513775 "88"
"46801" "female" "other" 2.27 3 7 2 1.4 2.6 2.75 1 72 1 5.91607978309962 "88"
"68210" "female" "other" 2.27 3 7 2 1.4 2.6 2.75 1 72 1.36 7.61577310586391 "88"
"89619" "female" "other" 2.27 3 7 2 1.4 2.6 2.75 1 72 1.51 9.69535971483266 "88"
"4060" "male" "white, non-Hispanic" 0.01 8 6 1.5 1.8 2.4 3 1 75 -1.02 0 "89"
"25469" "male" "white, non-Hispanic" 0.01 8 6 1.5 1.8 2.4 3 1 75 -0.16 3.3166247903554 "89"
"46878" "male" "white, non-Hispanic" 0.01 8 6 1.5 1.8 2.4 3 1 75 0.64 5.91607978309962 "89"
"68287" "male" "white, non-Hispanic" 0.01 8 6 1.5 1.8 2.4 3 1 75 0.8 7.68114574786861 "89"
"89696" "male" "white, non-Hispanic" 0.01 8 6 1.5 1.8 2.4 3 1 75 1.08 9.74679434480896 "89"
"4115" "female" "white, non-Hispanic" -0.7 6 7 1.25 1.8 1.75 2.75 1 73 -1.69 0 "90"
"25524" "female" "white, non-Hispanic" -0.7 6 7 1.25 1.8 1.75 2.75 1 73 -1.2 3.3166247903554 "90"
"46933" "female" "white, non-Hispanic" -0.7 6 7 1.25 1.8 1.75 2.75 1 73 -0.18 5.91607978309962 "90"
"68342" "female" "white, non-Hispanic" -0.7 6 7 1.25 1.8 1.75 2.75 1 73 0.07 7.74596669241483 "90"
"89751" "female" "white, non-Hispanic" -0.7 6 7 1.25 1.8 1.75 2.75 1 73 0.99 9.74679434480896 "90"
"4141" "female" "white, non-Hispanic" 0.98 8 7 2 1 2.75 3.67 1 69 -1.04 0 "91"
"25550" "female" "white, non-Hispanic" 0.98 8 7 2 1 2.75 3.67 1 69 -0.01 3.3166247903554 "91"
"46959" "female" "white, non-Hispanic" 0.98 8 7 2 1 2.75 3.67 1 69 0.68 6 "91"
"68368" "female" "white, non-Hispanic" 0.98 8 7 2 1 2.75 3.67 1 69 0.95 7.74596669241483 "91"
"89777" "female" "white, non-Hispanic" 0.98 8 7 2 1 2.75 3.67 1 69 1.39 9.69535971483266 "91"
"4146" "male" "white, non-Hispanic" 1.18 7 9 1.75 1.4 3 3 1 76 -0.41 0 "92"
"25555" "male" "white, non-Hispanic" 1.18 7 9 1.75 1.4 3 3 1 76 0.01 3.46410161513775 "92"
"46964" "male" "white, non-Hispanic" 1.18 7 9 1.75 1.4 3 3 1 76 1.03 6 "92"
"68373" "male" "white, non-Hispanic" 1.18 7 9 1.75 1.4 3 3 1 76 1.24 7.74596669241483 "92"
"89782" "male" "white, non-Hispanic" 1.18 7 9 1.75 1.4 3 3 1 76 1.55 9.69535971483266 "92"
"4291" "male" "white, non-Hispanic" 0.13 4 6 2 1 3.2 3 1 68 -1.04 0 "93"
"25700" "male" "white, non-Hispanic" 0.13 4 6 2 1 3.2 3 1 68 0.01 3.3166247903554 "93"
"47109" "male" "white, non-Hispanic" 0.13 4 6 2 1 3.2 3 1 68 0.88 5.91607978309962 "93"
"68518" "male" "white, non-Hispanic" 0.13 4 6 2 1 3.2 3 1 68 1.23 7.68114574786861 "93"
"89927" "male" "white, non-Hispanic" 0.13 4 6 2 1 3.2 3 1 68 1.85 9.69535971483266 "93"
"4296" "male" "white, non-Hispanic" 0.85 4 8 2.25 2.2 3 3.25 1 72 -0.78 0 "94"
"25705" "male" "white, non-Hispanic" 0.85 4 8 2.25 2.2 3 3.25 1 72 -0.16 3.3166247903554 "94"
"47114" "male" "white, non-Hispanic" 0.85 4 8 2.25 2.2 3 3.25 1 72 0.8 5.91607978309962 "94"
